,mass_A,
t,r,θr
33,47.37,-43.0
50,47.35,-43.0
67,47.34,-43.0
83,47.35,-43.0
100,47.36,-43.0
117,47.37,-43.1
133,47.39,-43.1
150,47.39,-43.0
167,47.37,-43.0
183,47.36,-43.0
200,47.37,-42.9
217,47.38,-42.9
233,47.41,-42.9
250,47.39,-42.9
267,47.41,-42.9
283,47.42,-42.9
300,47.42,-42.9
317,47.42,-42.9
333,47.42,-42.9
350,47.43,-42.9
367,47.44,-42.9
383,47.44,-43.0
400,47.45,-43.0
417,47.44,-43.0
433,47.45,-42.9
450,47.44,-42.9
467,47.43,-42.9
483,47.43,-42.9
500,47.43,-42.9
517,47.44,-42.9
533,47.43,-42.9
550,47.42,-42.9
567,47.41,-42.9
583,47.40,-42.9
600,47.40,-43.0
617,47.43,-42.9
633,47.43,-42.9
650,47.43,-42.9
667,47.43,-42.9
683,47.44,-42.9
700,47.44,-42.9
717,47.43,-42.9
733,47.44,-42.9
750,47.45,-42.9
767,47.45,-42.9
783,47.45,-42.9
800,47.46,-42.9
817,47.45,-42.9
833,47.45,-42.9
850,47.44,-42.9
867,47.45,-42.9
883,47.45,-42.9
900,47.46,-42.9
917,47.45,-42.9
933,47.46,-42.9
950,47.46,-42.9
967,47.45,-42.9
983,47.45,-42.9
1.000,47.48,-42.9
1.017,47.48,-42.9
1.033,47.48,-42.9
1.050,47.47,-42.9
1.067,47.47,-42.9
1.083,47.46,-42.9
1.100,47.46,-42.9
1.117,47.48,-42.9
1.133,47.49,-42.9
1.150,47.49,-42.9
1.167,47.48,-42.9
1.183,47.44,-43.0
1.200,47.41,-43.0
1.217,47.39,-43.1
1.233,47.35,-43.1
1.250,47.33,-43.2
1.267,47.36,-43.2
1.283,47.39,-43.2
1.300,47.47,-43.1
1.317,47.52,-43.0
1.333,47.58,-42.9
1.350,47.58,-42.9
1.368,47.54,-42.9
1.385,47.50,-42.9
1.402,47.44,-43.0
1.418,47.40,-43.0
1.435,47.39,-43.1
1.452,47.39,-43.1
1.468,47.39,-43.1
1.485,47.44,-43.1
1.502,47.49,-43.0
1.518,47.53,-43.0
1.535,47.54,-42.9
1.552,47.54,-42.7
1.568,47.52,-42.5
1.585,47.51,-42.3
1.602,47.51,-42.0
1.618,47.60,-41.6
1.635,47.81,-41.0
