,masa_A,
t,r,θr
0.00,45.51,-53.00
0.05,46.55,-50.60
0.07,46.38,-48.90
0.08,46.37,-47.00
0.10,46.44,-44.70
0.12,46.51,-42.20
0.13,46.35,-39.40
0.15,46.36,-36.40
0.17,46.41,-33.20
0.18,46.34,-29.80
0.20,46.31,-26.20
0.22,46.32,-22.40
0.23,46.28,-18.50
0.25,46.27,-14.40
0.27,46.29,-10.40
0.28,46.26,-6.20
0.30,46.29,-0.9
0.32,46.30,2.20
0.33,46.30,6.30
0.35,46.34,10.40
0.37,46.36,13.90
0.38,46.37,17.70
0.40,46.38,21.40
0.42,46.40,25.20
0.43,46.45,28.80
0.45,46.50,32.30
0.47,46.49,35.60
0.48,46.51,38.60
0.50,46.51,41.40
0.52,46.53,44.00
0.53,46.52,46.40
0.55,46.49,48.50
0.57,46.49,50.30
0.58,46.49,51.80
0.60,46.47,53.10
0.62,46.44,54.00
0.63,46.43,54.50
0.65,46.40,54.80
0.67,46.38,54.90
0.68,46.41,54.60
0.70,46.38,54.00
0.72,46.37,53.00
0.73,46.37,51.90
0.75,46.37,50.30
0.77,46.37,48.60
0.78,46.35,46.40
0.80,46.35,44.10
0.82,46.37,41.50
0.83,46.36,38.70
0.85,46.33,35.60
0.87,46.30,32.30
0.88,46.27,28.80
0.90,46.27,25.20
0.92,46.25,21.40
0.93,46.26,17.50
0.95,46.25,13.70
0.97,46.25,9.60
0.98,46.23,6.20
1.00,46.21,0.9
1.02,46.20,-2.20
1.03,46.20,-6.30
1.05,46.20,-10.40
1.07,46.21,-14.50
1.08,46.23,-18.50
1.10,46.27,-22.40
1.12,46.29,-26.00
1.13,46.35,-29.60
1.15,46.37,-32.90
1.17,46.41,-36.00
1.18,46.41,-38.90
1.20,46.44,-41.60
1.22,46.45,-43.90
1.23,46.47,-46.00
1.25,46.48,-47.80
1.27,46.51,-49.40
1.28,46.54,-50.60
1.30,46.35,-51.20
1.32,46.29,-51.50
1.33,46.24,-51.80
1.35,46.23,-51.80
1.37,46.25,-51.40
1.38,46.26,-50.80
1.40,46.31,-49.80
1.42,46.31,-48.50
1.43,46.28,-46.90
1.45,46.37,-45.00
1.47,46.37,-42.90
1.48,46.42,-40.50
1.50,46.55,-37.80
1.52,46.66,-36.00
1.53,46.63,-32.90
1.55,46.60,-29.70
1.57,46.60,-26.30
1.58,46.52,-22.70
1.60,46.51,-19.20
1.62,46.47,-15.40
1.63,46.44,-11.60
1.65,46.40,-7.80
1.67,46.35,-3.70
1.68,46.30,0.40
1.70,46.28,4.40
1.72,46.26,8.40
1.73,46.24,12.40
1.75,46.22,16.30
