,masa_A,
t,r,θr
0,47.38,-25.1
17,47.37,-25.1
33,47.39,-25.1
0.05,47.39,-25.1
67,47.39,-25.2
83,47.38,-25.1
0.1,47.38,-25.1
117,47.37,-25.1
133,47.38,-25.1
0.15,47.39,-25.1
167,47.38,-25.1
183,47.38,-25.1
0.2,47.37,-25.1
217,47.37,-25.1
233,47.37,-25.1
0.25,47.37,-25.1
267,47.38,-25.1
283,47.38,-25.1
0.3,47.39,-25.1
317,47.39,-25.1
333,47.39,-25.1
0.35,47.39,-25.1
367,47.38,-25.1
383,47.39,-25.1
0.4,47.39,-25.1
417,47.39,-25.1
433,47.39,-25.1
0.45,47.39,-25.1
467,47.39,-25.2
483,47.4,-25.2
0.5,47.4,-25.2
517,47.4,-25.2
533,47.41,-25.2
0.55,47.41,-25.2
567,47.41,-25.2
583,47.41,-25.2
0.6,47.41,-25.2
617,47.41,-25.2
633,47.4,-25.1
0.65,47.4,-25.1
667,47.4,-25.1
683,47.4,-25.2
0.7,47.4,-25.2
717,47.39,-25.2
733,47.4,-25.2
0.75,47.4,-25.2
767,47.4,-25.2
783,47.4,-25.2
0.8,47.4,-25.2
817,47.4,-25.2
833,47.4,-25.1
0.85,47.4,-25.1
867,47.39,-25.1
883,47.39,-25.1
0.9,47.39,-25.2
917,47.38,-25.2
933,47.39,-25.2
0.95,47.39,-25.2
967,47.38,-25.2
983,47.38,-25.2
1,47.37,-25.2
1.017,47.36,-25.2
1.033,47.36,-25.2
01.05,47.36,-25.2
1.067,47.36,-25.2
1.083,47.37,-25.2
1.1,47.39,-25.3
1.117,47.4,-25.3
1.133,47.43,-25.2
1.15,47.47,-25.1
1.167,47.51,-24.8
1.183,47.54,-24.5
1.2,47.55,-24
1.217,47.57,-23.4
1.233,47.55,-22.6
1.25,47.53,-21.6
1.267,47.53,-20.5
1.283,47.53,-19.3
1.3,47.51,-18
1.317,47.47,-16.6
1.333,47.45,-15
1.35,47.42,-13.3
1.368,47.38,-11.6
1.385,47.37,-9.8
1.402,47.35,-7.9
1.418,47.33,-6
1.435,47.31,-4.1
1.452,47.27,-2
1.468,47.25,-0.1
1.485,47.23,1.9
1.502,47.2,3.9
1.518,47.18,5.9
1.535,47.14,7.8
1.552,47.14,9.7
1.568,47.1,11.5
1.585,47.08,13.2
1.602,47.09,14.9
1.618,47.08,16.5
1.635,47.05,17.9
1.652,47.03,19.3
1.668,47.02,20.5
1.685,47.01,21.6
1.702,47.01,22.5
1.718,47.02,23.4
