,masa_A,
t,r,θr
67,30.52,-22.3
83,30.51,-22.3
0.1,30.51,-22.2
117,30.52,-22.2
133,30.51,-22.2
0.15,30.53,-22.2
167,30.52,-22.2
183,30.52,-22.2
0.2,30.51,-22.3
217,30.51,-22.2
233,30.51,-22.3
0.25,30.52,-22.3
267,30.53,-22.3
283,30.52,-22.3
0.3,30.52,-22.3
317,30.52,-22.3
333,30.52,-22.3
0.35,30.51,-22.3
367,30.52,-22.3
383,30.52,-22.3
0.4,30.52,-22.3
417,30.51,-22.2
433,30.51,-22.3
0.45,30.52,-22.3
467,30.52,-22.3
483,30.52,-22.3
0.5,30.53,-22.3
517,30.53,-22.3
533,30.53,-22.3
0.55,30.52,-22.3
567,30.52,-22.3
583,30.53,-22.3
0.6,30.53,-22.3
617,30.53,-22.3
633,30.53,-22.3
0.65,30.52,-22.3
667,30.52,-22.3
683,30.53,-22.3
0.7,30.52,-22.3
717,30.52,-22.3
733,30.52,-22.3
0.75,30.53,-22.3
767,30.52,-22.3
783,30.53,-22.3
0.8,30.53,-22.3
817,30.53,-22.3
833,30.52,-22.3
0.85,30.52,-22.3
867,30.52,-22.3
883,30.52,-22.3
0.9,30.52,-22.3
917,30.52,-22.3
933,30.53,-22.3
0.95,30.53,-22.3
967,30.53,-22.3
983,30.53,-22.3
1,30.53,-22.3
1.017,30.56,-22.2
1.033,30.61,-22
01.05,30.7,-21.7
1.067,30.73,-21.3
1.083,30.69,-20.5
1.1,30.69,-19.5
1.117,30.69,-18.2
1.133,30.66,-16.8
1.15,30.67,-15.2
1.167,30.69,-13.4
1.183,30.68,-11.6
1.2,30.69,-9.6
1.217,30.67,-7.5
1.233,30.66,-5.3
1.25,30.66,-3.1
1.267,30.66,-0.9
1.283,30.65,1.3
1.3,30.64,3.6
1.317,30.63,5.9
1.333,30.63,8
1.35,30.63,10.1
1.367,30.61,12
1.385,30.61,13.9
1.402,30.59,15.6
1.418,30.6,17.1
1.435,30.61,18.5
1.452,30.6,19.7
1.468,30.59,20.6
1.485,30.6,21.4
1.502,30.6,21.9
1.518,30.6,22.2
1.535,30.61,22.3
1.552,30.59,22.2
1.568,30.62,21.8
1.585,30.64,21.2
1.602,30.66,20.4
1.618,30.66,19.4
1.635,30.66,18.1
1.652,30.67,16.6
1.668,30.67,15.1
1.685,30.69,13.3
1.702,30.68,11.4
1.718,30.69,9.5
1.735,30.71,7.4
1.752,30.71,5.3
1.768,30.72,3.1
1.785,30.72,0.8
1.802,30.7,-1.3
1.818,30.71,-3.5
1.835,30.7,-5.7
1.852,30.69,-7.8
1.868,30.69,-9.7
1.885,30.69,-11.6
1.902,30.68,-13.3
1.918,30.68,-14.9
1.935,30.68,-16.4
1.952,30.68,-17.6
1.968,30.68,-18.7
1.985,30.68,-19.5
2.002,30.65,-20.2
2.018,30.64,-20.6
2.035,30.65,-20.8
2.052,30.64,-20.8
2.068,30.64,-20.5
2.085,30.65,-20.1
2.102,30.64,-19.4
2.118,30.65,-18.5
2.135,30.67,-17.4
2.152,30.67,-16.2
2.168,30.69,-14.7
2.185,30.69,-13.1
2.202,30.69,-11.4
2.218,30.69,-9.6
2.235,30.69,-7.7
2.252,30.69,-5.6
2.268,30.69,-3.6
2.285,30.68,-1.5
2.302,30.68,0.6
2.318,30.67,2.8
2.335,30.65,4.8
2.352,30.64,6.9
2.368,30.63,8.9
2.385,30.63,10.7
2.402,30.61,12.5
2.418,30.61,14.2
2.435,30.58,15.7
