,masa_A,
t,r,θr
0.000,47.100,-24.400
0.033,47.100,-24.500
0.067,47.070,-24.500
0.100,47.040,-24.300
0.133,47.070,-24.200
0.167,47.190,-23.700
0.200,47.270,-22.800
0.233,47.220,-21.100
0.267,47.240,-18.800
0.300,47.230,-15.900
0.333,47.270,-12.500
0.367,47.650,-10.100
0.400,47.350,-6.700
0.433,47.370,-2.800
0.467,47.300,1.500
0.500,47.320,5.600
0.533,47.380,9.500
0.567,47.420,13.300
0.600,47.430,16.700
0.633,47.430,19.700
0.667,47.440,22.200
0.700,48.320,24.700
0.733,48.350,26.100
0.767,48.060,26.000
0.800,48.010,25.800
0.833,48.320,25.200
0.867,48.070,23.600
0.900,48.270,22.100
0.933,48.230,19.600
0.967,48.190,16.600
1.000,47.830,12.700
1.033,47.320,8.700
1.067,47.270,4.700
1.100,47.230,0.800
1.133,47.210,-3.200
1.167,47.190,-7.000
1.200,47.580,-10.100
1.233,47.530,-13.200
1.267,47.500,-16.000
1.300,47.500,-18.200
1.333,47.470,-19.900
1.367,47.450,-21.000
1.400,47.470,-21.500
1.433,47.460,-21.400
1.467,47.510,-20.800
1.500,47.540,-19.500
1.533,47.560,-17.700
1.567,47.610,-15.500
1.600,47.630,-12.700
1.633,47.660,-9.500
1.667,47.670,-6.100
1.700,47.700,-2.300
1.733,47.720,1.800
1.767,47.740,5.400
1.800,47.810,9.000
1.833,47.840,12.200
1.867,47.830,15.300
1.900,47.810,18.100
1.933,47.840,20.400
1.967,47.810,22.100
2.000,47.870,23.300
2.033,47.790,23.800
2.067,47.810,23.800
2.100,47.790,23.200
2.133,47.800,22.000
2.167,47.800,20.200
2.200,47.840,17.800
2.233,47.740,15.000
2.267,47.730,11.800
2.300,47.240,8.300
2.333,47.240,4.800
2.367,47.190,1.000
2.400,47.190,-2.600
2.433,47.200,-6.200
2.467,47.150,-9.600
2.500,47.560,-12.000
2.533,47.540,-14.500
2.567,47.500,-16.600
2.600,47.490,-18.100
2.633,47.510,-19.300
2.667,47.530,-19.800
2.700,47.530,-19.700
2.733,47.560,-19.100
2.767,47.580,-18.000
2.800,47.600,-16.400
2.833,47.620,-14.100
2.867,47.670,-11.500
2.900,47.690,-8.700
2.933,47.740,-5.400
2.967,47.730,-1.900
3.000,47.330,1.200
3.033,47.330,4.700
3.067,47.850,8.400
3.100,47.820,11.400
3.133,47.860,14.300
3.167,47.840,16.800
3.200,47.830,19.000
3.233,47.800,20.600
3.267,47.820,21.600
3.300,47.810,22.100
3.333,47.800,22.100
3.367,47.780,21.500
3.400,47.760,20.300
3.433,47.780,18.600
3.467,47.780,16.400
3.500,47.790,13.900
3.533,47.740,11.100
3.567,47.240,7.600
3.600,47.230,4.400
3.633,47.200,1.000
3.667,47.160,-2.500
3.700,47.170,-5.700
3.733,47.160,-8.800
3.767,47.140,-11.500
3.800,47.540,-13.500
3.833,47.540,-15.500
3.867,47.530,-16.900
3.900,47.550,-17.900
3.933,47.540,-18.300
3.967,47.580,-18.300
4.000,47.600,-17.600
4.033,47.630,-16.400
4.067,47.650,-14.700
4.100,47.690,-12.800
4.133,47.260,-10.800
4.167,47.290,-8.100
4.200,47.320,-5.000
4.233,47.330,-1.800
4.267,47.320,1.500
4.300,47.360,4.700
4.333,47.390,7.800
4.367,47.400,10.700
4.400,47.410,13.400
4.433,47.390,15.800
4.467,47.360,17.700
4.500,47.340,19.200
4.533,47.340,20.100
4.567,47.770,20.400
4.600,47.770,20.300
4.633,47.760,19.700
4.667,47.790,18.700
4.700,47.810,17.000
4.733,47.750,15.000
4.767,47.740,12.700
4.800,47.700,10.100
4.833,47.640,7.200
4.867,47.240,3.800
4.900,47.190,0.600
4.933,47.160,-2.500
4.967,47.160,-5.500
5.000,47.600,-7.900
5.033,47.580,-10.400
5.067,47.590,-12.400
5.100,47.600,-14.200
5.133,47.600,-15.700
5.167,47.610,-16.500
5.200,47.620,-16.900
5.233,47.630,-16.700
5.267,47.660,-16.100
5.300,47.680,-14.900
5.333,47.710,-13.400
5.367,47.740,-11.400
5.400,47.760,-9.300
5.433,47.780,-6.700
5.467,47.790,-3.600
5.500,47.790,-0.600
5.533,47.790,2.200
5.567,47.780,5.100
5.600,47.820,8.000
5.633,47.820,10.600
5.667,47.790,12.900
5.700,47.800,15.000
5.733,47.020,16.200
5.767,46.980,17.500
5.800,46.960,18.300
5.833,46.970,18.600
5.867,46.960,18.400
5.900,46.940,17.700
5.933,46.930,16.600
5.967,46.930,14.900
6.000,46.930,13.000
6.033,47.670,11.300
6.067,47.650,8.900
6.100,47.650,6.300
6.133,47.610,3.600
6.167,47.570,0.700
6.200,47.120,-2.700
6.233,47.130,-5.400
6.267,47.150,-8.000
6.300,47.600,-9.900
6.333,47.590,-12.000
6.367,47.580,-13.400
6.400,47.600,-14.500
6.433,47.630,-15.200
6.467,47.640,-15.500
6.500,47.660,-15.200
6.533,47.670,-14.500
6.567,47.720,-13.500
