,masa_A,
t,r,θr
0,49.2,-23.3
17,49.2,-23.3
33,49.21,-23.3
0.05,49.22,-23.3
67,49.22,-23.4
83,49.25,-23.5
0.1,49.26,-23.5
117,49.26,-23.6
133,49.25,-23.6
0.15,49.26,-23.6
167,49.25,-23.7
183,49.25,-23.7
0.2,49.24,-23.7
217,49.23,-23.7
233,49.23,-23.8
0.25,49.23,-23.8
267,49.24,-23.8
283,49.25,-23.8
0.3,49.27,-23.8
317,49.28,-23.7
333,49.28,-23.7
0.35,49.3,-23.7
367,49.33,-23.6
383,49.37,-23.5
0.4,49.42,-23.4
417,49.53,-23.2
433,49.58,-22.8
0.45,49.5,-22.3
467,49.47,-21.6
483,49.52,-20.8
0.5,49.51,-19.8
517,49.46,-18.7
533,49.44,-17.5
0.55,49.45,-16.2
567,49.45,-14.8
583,49.44,-13.2
0.6,49.43,-11.6
617,49.4,-9.9
633,49.47,-8.2
0.65,49.55,-6.6
667,49.52,-4.7
683,49.5,-2.8
0.7,49.41,-0.9
717,49.4,1.1
733,49.41,3
0.75,49.41,4.9
767,49.4,6.8
783,49.31,8.8
0.8,49.27,10.6
817,49.28,12.3
833,49.28,14
0.85,49.24,15.5
867,49.19,17.1
883,49.16,18.4
0.9,49.32,17.9
917,49.33,19.1
933,49.34,20.1
0.95,49.35,21
967,49.38,21.8
983,49.38,22.4
1,49.38,22.9
1.017,49.41,23.3
1.033,49.42,23.5
01.05,49.41,23.5
1.067,49.42,23.4
1.083,49.41,23.2
1.1,49.43,22.8
1.117,49.42,22.2
1.133,49.43,21.5
1.15,49.42,20.7
1.167,49.42,19.7
1.183,49.41,18.7
1.2,49.4,17.5
1.217,49.39,16.2
1.233,49.37,14.7
1.25,49.36,13.2
1.267,49.37,11.6
1.283,49.34,9.9
1.3,49.35,8.2
1.317,49.37,6.4
1.333,49.34,4.5
1.35,49.23,4.6
1.367,49.28,2.8
1.383,49.09,0
1.4,49.11,-1.9
1.417,49.17,-3.9
1.433,49.2,-5.7
1.45,49.22,-7.5
1.467,49.26,-9.3
1.483,49.29,-11
1.5,49.35,-12.6
1.517,49.39,-14.2
1.533,49.42,-15.6
1.55,49.43,-17
1.567,49.44,-18.2
1.583,49.43,-19.3
1.6,49.44,-20.2
1.617,49.45,-21.1
1.633,49.46,-21.8
1.65,49.47,-22.4
1.667,49.46,-22.1
1.683,49.5,-22.4
1.702,49.48,-22.5
1.718,49.49,-22.5
1.735,49.5,-22.3
1.752,49.5,-22
1.768,49.51,-21.5
1.785,49.52,-20.9
1.802,49.52,-20.2
1.818,49.5,-19.3
1.835,49.49,-18.3
1.852,49.49,-17.2
1.868,49.47,-16
1.885,49.46,-14.6
1.902,49.42,-13.2
1.918,49.41,-11.7
1.935,49.38,-10.2
1.952,49.36,-8.5
1.968,49.32,-6.8
1.985,49.29,-5.1
2.002,49.26,-3.3
2.018,49.22,-1.4
2.035,49.19,0.4
2.052,49.18,2.3
2.068,49.16,4.1
2.085,49.14,5.9
2.102,49.12,7.8
2.118,49.09,9.5
2.135,49.07,11.2
2.152,49.07,12.8
2.168,49.04,14.4
2.185,49.02,15.8
2.202,49,17.2
2.218,49,18.5
2.235,48.98,19.7
2.252,48.97,20.7
2.268,48.97,21.6
2.285,48.96,22.4
2.302,48.94,23.1
2.318,48.95,23.6
2.335,48.82,23
2.352,48.82,23.2
2.368,48.79,23.3
2.385,48.75,23.3
2.402,48.8,23.1
2.418,48.82,22.7
2.435,48.84,22.3
2.452,48.81,21.7
2.468,48.89,20.9
2.485,48.85,20
2.502,48.92,19
2.518,48.89,17.9
2.535,48.91,16.6
2.552,48.96,15.3
2.568,48.97,13.9
2.585,49,12.3
2.602,49.03,10.8
2.618,49.04,9.1
2.635,49.06,7.4
2.652,49.06,5.7
2.668,49.07,3.9
2.685,49.12,2.1
2.702,49.14,0.3
2.718,49.17,-1.5
2.735,49.23,-3.3
2.752,49.29,-5.1
2.768,49.34,-6.8
2.785,49.32,-8.5
2.802,49.33,-10.2
2.818,49.36,-11.7
2.835,49.39,-13.2
2.852,49.42,-14.6
2.868,49.45,-15.9
2.885,49.47,-17.2
2.902,49.5,-18.3
2.918,49.5,-19.3
2.935,49.51,-20.2
2.952,49.53,-20.9
2.968,49.53,-21.6
2.985,49.52,-22
3.002,49.55,-22.4
3.018,49.52,-22.1
3.035,49.53,-22.2
3.052,49.51,-22.1
3.068,49.55,-21.9
3.085,49.57,-21.6
3.102,49.51,-21.1
3.118,49.58,-20.5
3.135,49.54,-19.8
3.152,49.58,-18.9
3.168,49.55,-17.9
3.185,49.52,-16.6
3.202,49.52,-15.4
3.218,49.5,-14.1
3.235,49.47,-12.7
3.252,49.46,-11.2
3.268,49.41,-9.6
3.285,49.38,-7.9
3.302,49.33,-6.2
3.318,49.3,-4.4
3.335,49.27,-2.7
3.352,49.24,-0.8
3.368,49.21,1
3.385,49.2,2.8
3.402,49.15,4.6
3.418,49.12,6.4
3.435,49.08,8.1
3.452,49.06,9.8
3.468,49.02,11.5
3.485,48.98,13
3.502,48.95,14.5
3.518,48.94,15.9
3.535,48.91,17.2
3.552,48.87,18.4
3.568,48.85,19.5
3.585,48.83,20.5
3.602,48.83,21.4
3.618,48.8,22.1
3.635,48.78,22.7
3.652,48.76,23.2
3.668,48.76,23.5
3.685,48.76,23.7
3.702,48.73,23.7
3.718,48.75,23.6
3.735,48.75,23.3
3.752,48.72,22.9
3.768,48.72,22.4
3.785,48.73,21.7
3.802,48.74,20.9
3.818,48.77,20
3.835,48.78,18.9
3.852,48.81,17.8
3.868,48.79,16.5
3.885,48.83,15.1
3.902,48.86,13.7
3.918,48.87,12.1
3.935,48.9,10.5
3.952,48.94,8.9
3.968,48.93,7.1
3.985,49,5.4
4.002,49.01,3.6
4.018,49.05,1.8
4.035,49.08,0
4.052,49.11,-1.9
4.068,49.14,-3.6
4.085,49.17,-5.4
4.102,49.21,-7.1
4.118,49.26,-8.8
4.135,49.28,-10.3
4.152,49.33,-11.9
4.168,49.39,-13.3
4.185,49.39,-14.6
4.202,49.44,-15.9
4.218,49.47,-17
4.235,49.5,-18.1
4.252,49.53,-19
4.268,49.54,-19.8
4.285,49.54,-20.4
4.302,49.57,-20.9
4.318,49.58,-21.3
4.335,49.59,-21.5
4.352,49.64,-21.6
4.368,49.6,-21.6
4.385,49.63,-21.4
4.402,49.63,-21.1
4.418,49.62,-20.7
4.437,49.65,-20.1
4.453,49.61,-19.4
4.47,49.6,-18.5
4.487,49.57,-17.5
4.503,49.57,-16.5
4.52,49.53,-15.3
4.537,49.51,-14
4.553,49.46,-12.6
4.57,49.45,-11.1
4.587,49.42,-9.6
4.603,49.39,-8
4.62,49.33,-6.3
4.637,49.3,-4.6
4.653,49.28,-2.9
4.67,49.24,-1.1
4.687,49.19,0.6
4.703,49.17,2.4
4.72,49.13,4.1
4.737,49.1,5.9
4.753,49.05,7.6
4.77,49.02,9.2
4.787,48.99,10.8
4.803,48.96,12.4
4.82,48.92,13.8
4.837,48.89,15.2
4.853,48.86,16.5
4.87,48.81,17.7
4.887,48.8,18.8
4.903,48.78,19.8
4.92,48.75,20.6
4.937,48.73,21.3
4.953,48.71,21.9
4.97,48.69,22.4
4.987,48.69,22.7
5.003,48.66,22.9
05.02,48.67,23
5.037,48.68,22.9
5.053,48.65,22.7
05.07,48.68,22.3
5.087,48.67,21.8
5.103,48.68,21.2
5.12,48.7,20.5
5.137,48.71,19.6
5.153,48.74,18.6
5.17,48.75,17.4
5.187,48.78,16.2
5.203,48.77,14.9
5.22,48.81,13.6
5.237,48.84,12.1
5.253,48.89,10.5
5.27,48.93,8.9
5.287,48.95,7.3
5.303,48.99,5.6
5.32,49,3.8
5.337,49.06,2.1
5.353,49.07,0.4
5.37,49.12,-1.3
5.387,49.17,-3.1
5.403,49.19,-4.8
5.42,49.23,-6.5
5.437,49.27,-8.1
5.453,49.3,-9.7
5.47,49.33,-11.1
5.487,49.37,-12.6
5.503,49.42,-13.9
5.52,49.45,-15.2
5.537,49.46,-16.3
5.553,49.5,-17.3
5.57,49.51,-18.2
5.587,49.54,-19
5.603,49.53,-19.7
5.62,49.55,-20.2
5.637,49.59,-20.6
5.653,49.58,-20.9
5.67,49.59,-21
5.687,49.58,-21
5.703,49.62,-20.9
5.72,49.59,-20.7
5.737,49.59,-20.3
5.753,49.59,-19.8
5.77,49.55,-19.1
5.787,49.58,-18.3
5.803,49.57,-17.4
5.82,49.53,-16.3
5.837,49.51,-15.2
5.853,49.49,-14
5.87,49.47,-12.7
5.887,49.44,-11.2
5.903,49.4,-9.8
5.92,49.35,-8.2
5.937,49.32,-6.6
5.953,49.3,-4.9
5.97,49.26,-3.2
5.987,49.22,-1.5
